time (s), 25.00000, time (s), 100.000000
7.600000000000000000e+01,7.994548716770503383e+00,7.600000000000000000e+01,2.309854871677050525e+01
7.700000000000000000e+01,8.194548716770503560e+00,7.700000000000000000e+01,2.329854871677050454e+01
7.800000000000000000e+01,8.194548716770503560e+00,7.800000000000000000e+01,2.329854871677050454e+01
7.900000000000000000e+01,8.194548716770503560e+00,7.900000000000000000e+01,2.339854871677050241e+01
8.000000000000000000e+01,8.294548716770503205e+00,8.000000000000000000e+01,2.369854871677050312e+01
8.100000000000000000e+01,8.494548716770504271e+00,8.100000000000000000e+01,2.379854871677050454e+01
8.200000000000000000e+01,8.594548716770503916e+00,8.200000000000000000e+01,2.389854871677050241e+01
8.300000000000000000e+01,8.694548716770503560e+00,8.300000000000000000e+01,2.409854871677050525e+01
8.400000000000000000e+01,8.794548716770503205e+00,8.400000000000000000e+01,2.419854871677050312e+01
8.500000000000000000e+01,8.894548716770502850e+00,8.500000000000000000e+01,2.449854871677050383e+01
8.600000000000000000e+01,8.994548716770504271e+00,8.600000000000000000e+01,2.469854871677050312e+01
8.700000000000000000e+01,8.994548716770504271e+00,8.700000000000000000e+01,2.479854871677050454e+01
8.800000000000000000e+01,9.094548716770503916e+00,8.800000000000000000e+01,2.489854871677050241e+01
8.900000000000000000e+01,9.094548716770503916e+00,8.900000000000000000e+01,2.509854871677050525e+01
9.000000000000000000e+01,9.194548716770503560e+00,9.000000000000000000e+01,2.539854871677050241e+01
9.100000000000000000e+01,9.194548716770503560e+00,9.100000000000000000e+01,2.539854871677050241e+01
9.200000000000000000e+01,9.294548716770503205e+00,9.200000000000000000e+01,2.539854871677050241e+01
9.300000000000000000e+01,9.194548716770503560e+00,9.300000000000000000e+01,2.559854871677050525e+01
9.400000000000000000e+01,9.394548716770502850e+00,9.400000000000000000e+01,2.559854871677050525e+01
9.500000000000000000e+01,9.394548716770502850e+00,9.500000000000000000e+01,2.559854871677050525e+01
9.600000000000000000e+01,9.494548716770504271e+00,9.600000000000000000e+01,2.569854871677050312e+01
9.700000000000000000e+01,9.594548716770503916e+00,9.700000000000000000e+01,2.599854871677050383e+01
9.800000000000000000e+01,9.694548716770503560e+00,9.800000000000000000e+01,2.599854871677050383e+01
9.900000000000000000e+01,9.894548716770502850e+00,9.900000000000000000e+01,2.619854871677050312e+01
1.000000000000000000e+02,9.794548716770503205e+00,1.000000000000000000e+02,2.629854871677050454e+01
1.010000000000000000e+02,9.994548716770504271e+00,1.010000000000000000e+02,2.649854871677050383e+01
1.020000000000000000e+02,9.994548716770504271e+00,1.020000000000000000e+02,2.659854871677050525e+01
1.030000000000000000e+02,1.019454871677050356e+01,1.030000000000000000e+02,2.669854871677050312e+01
1.040000000000000000e+02,1.029454871677050320e+01,1.040000000000000000e+02,2.669854871677050312e+01
1.050000000000000000e+02,1.049454871677050427e+01,1.050000000000000000e+02,2.669854871677050312e+01
1.060000000000000000e+02,1.049454871677050427e+01,1.060000000000000000e+02,2.679854871677050454e+01
1.070000000000000000e+02,1.049454871677050427e+01,1.070000000000000000e+02,2.699854871677050383e+01
1.080000000000000000e+02,1.049454871677050427e+01,1.080000000000000000e+02,2.699854871677050383e+01
1.090000000000000000e+02,1.059454871677050392e+01,1.090000000000000000e+02,2.709854871677050525e+01
1.100000000000000000e+02,1.059454871677050392e+01,1.100000000000000000e+02,2.709854871677050525e+01
1.110000000000000000e+02,1.059454871677050392e+01,1.110000000000000000e+02,2.729854871677050454e+01
1.120000000000000000e+02,1.079454871677050320e+01,1.120000000000000000e+02,2.729854871677050454e+01
1.130000000000000000e+02,1.089454871677050285e+01,1.130000000000000000e+02,2.739854871677050241e+01
1.140000000000000000e+02,1.109454871677050392e+01,1.140000000000000000e+02,2.749854871677050383e+01
1.150000000000000000e+02,1.109454871677050392e+01,1.150000000000000000e+02,2.759854871677050525e+01
1.160000000000000000e+02,1.099454871677050427e+01,1.160000000000000000e+02,2.759854871677050525e+01
1.170000000000000000e+02,1.099454871677050427e+01,1.170000000000000000e+02,2.769854871677050312e+01
1.180000000000000000e+02,1.099454871677050427e+01,1.180000000000000000e+02,2.779854871677050454e+01
1.190000000000000000e+02,1.109454871677050392e+01,1.190000000000000000e+02,2.789854871677050241e+01
1.200000000000000000e+02,1.109454871677050392e+01,1.200000000000000000e+02,2.789854871677050241e+01
1.210000000000000000e+02,1.109454871677050392e+01,1.210000000000000000e+02,2.789854871677050241e+01
1.220000000000000000e+02,1.119454871677050356e+01,1.220000000000000000e+02,2.799854871677050383e+01
1.230000000000000000e+02,1.129454871677050320e+01,1.230000000000000000e+02,2.809854871677050525e+01
1.240000000000000000e+02,1.129454871677050320e+01,1.240000000000000000e+02,2.809854871677050525e+01
1.250000000000000000e+02,1.139454871677050285e+01,1.250000000000000000e+02,2.819854871677050312e+01
1.260000000000000000e+02,1.149454871677050427e+01,1.260000000000000000e+02,2.809854871677050525e+01
1.270000000000000000e+02,1.149454871677050427e+01,1.270000000000000000e+02,2.819854871677050312e+01
1.280000000000000000e+02,1.159454871677050392e+01,1.280000000000000000e+02,2.829854871677050454e+01
1.290000000000000000e+02,1.169454871677050356e+01,1.290000000000000000e+02,2.839854871677050241e+01
1.300000000000000000e+02,1.179454871677050320e+01,1.300000000000000000e+02,2.849854871677050383e+01
1.310000000000000000e+02,1.179454871677050320e+01,1.310000000000000000e+02,2.849854871677050383e+01
