time (s), 1.250000,time (s), 2.500000,time (s), 5.000000
5.300000000000000000e+01,8.551000000000000156e+00,5.300000000000000000e+01,1.506900000000000084e+01,5.300000000000000000e+01,2.158999999999999986e+01
5.400000000000000000e+01,8.750999999999999446e+00,5.400000000000000000e+01,1.526900000000000013e+01,5.400000000000000000e+01,2.189000000000000057e+01
5.500000000000000000e+01,8.851000000000000867e+00,5.500000000000000000e+01,1.526900000000000013e+01,5.500000000000000000e+01,2.198999999999999844e+01
5.600000000000000000e+01,8.750999999999999446e+00,5.600000000000000000e+01,1.546899999999999942e+01,5.600000000000000000e+01,2.208999999999999986e+01
5.700000000000000000e+01,9.051000000000000156e+00,5.700000000000000000e+01,1.576900000000000013e+01,5.700000000000000000e+01,2.248999999999999844e+01
5.800000000000000000e+01,9.150999999999999801e+00,5.800000000000000000e+01,1.596899999999999942e+01,5.800000000000000000e+01,2.258999999999999986e+01
5.900000000000000000e+01,9.051000000000000156e+00,5.900000000000000000e+01,1.586899999999999977e+01,5.900000000000000000e+01,2.278999999999999915e+01
6.000000000000000000e+01,9.250999999999999446e+00,6.000000000000000000e+01,1.606899999999999906e+01,6.000000000000000000e+01,2.289000000000000057e+01
6.100000000000000000e+01,9.451000000000000512e+00,6.100000000000000000e+01,1.626899999999999835e+01,6.100000000000000000e+01,2.328999999999999915e+01
6.200000000000000000e+01,9.451000000000000512e+00,6.200000000000000000e+01,1.636899999999999977e+01,6.200000000000000000e+01,2.339000000000000057e+01
6.300000000000000000e+01,9.750999999999999446e+00,6.300000000000000000e+01,1.666900000000000048e+01,6.300000000000000000e+01,2.358999999999999986e+01
6.400000000000000000e+01,9.650999999999999801e+00,6.400000000000000000e+01,1.656899999999999906e+01,6.400000000000000000e+01,2.369000000000000128e+01
6.500000000000000000e+01,9.851000000000000867e+00,6.500000000000000000e+01,1.676899999999999835e+01,6.500000000000000000e+01,2.389000000000000057e+01
6.600000000000000000e+01,1.015099999999999980e+01,6.600000000000000000e+01,1.686899999999999977e+01,6.600000000000000000e+01,2.419000000000000128e+01
6.700000000000000000e+01,1.005100000000000016e+01,6.700000000000000000e+01,1.696900000000000119e+01,6.700000000000000000e+01,2.428999999999999915e+01
6.800000000000000000e+01,1.025099999999999945e+01,6.800000000000000000e+01,1.726899999999999835e+01,6.800000000000000000e+01,2.439000000000000057e+01
6.900000000000000000e+01,1.035100000000000087e+01,6.900000000000000000e+01,1.726899999999999835e+01,6.900000000000000000e+01,2.469000000000000128e+01
7.000000000000000000e+01,1.055100000000000016e+01,7.000000000000000000e+01,1.756899999999999906e+01,7.000000000000000000e+01,2.478999999999999915e+01
7.100000000000000000e+01,1.075099999999999945e+01,7.100000000000000000e+01,1.776899999999999835e+01,7.100000000000000000e+01,2.498999999999999844e+01
7.200000000000000000e+01,1.055100000000000016e+01,7.200000000000000000e+01,1.756899999999999906e+01,7.200000000000000000e+01,2.498999999999999844e+01
7.300000000000000000e+01,1.065099999999999980e+01,7.300000000000000000e+01,1.766900000000000048e+01,7.300000000000000000e+01,2.519000000000000128e+01
7.400000000000000000e+01,1.085100000000000087e+01,7.400000000000000000e+01,1.796900000000000119e+01,7.400000000000000000e+01,2.548999999999999844e+01
7.500000000000000000e+01,1.095100000000000051e+01,7.500000000000000000e+01,1.816900000000000048e+01,7.500000000000000000e+01,2.558999999999999986e+01
7.600000000000000000e+01,1.105100000000000016e+01,7.600000000000000000e+01,1.826899999999999835e+01,7.600000000000000000e+01,2.578999999999999915e+01
7.700000000000000000e+01,1.105100000000000016e+01,7.700000000000000000e+01,1.816900000000000048e+01,7.700000000000000000e+01,2.578999999999999915e+01
7.800000000000000000e+01,1.135100000000000087e+01,7.800000000000000000e+01,1.846900000000000119e+01,7.800000000000000000e+01,2.598999999999999844e+01
7.900000000000000000e+01,1.145100000000000051e+01,7.900000000000000000e+01,1.846900000000000119e+01,7.900000000000000000e+01,2.608999999999999986e+01
