time (s), 9.375000,time (s), 18.750000,time (s), 37.500000,time (s), 75.000000,time (s), 150.000000,time (s), 300.000000
2.500000000000000000e+01,1.388906451085487603e+00,2.500000000000000000e+01,4.260906451085487490e+00,2.500000000000000000e+01,6.113906451085487248e+00,2.500000000000000000e+01,1.466990645108548641e+01,2.500000000000000000e+01,2.475890645108548682e+01,2.500000000000000000e+01,4.283890645108548512e+01
2.600000000000000000e+01,1.288906451085487515e+00,2.600000000000000000e+01,4.360906451085487134e+00,2.600000000000000000e+01,6.213906451085487781e+00,2.600000000000000000e+01,1.506990645108548676e+01,2.600000000000000000e+01,2.535890645108548824e+01,2.600000000000000000e+01,4.373890645108548370e+01
2.700000000000000000e+01,1.388906451085487603e+00,2.700000000000000000e+01,4.560906451085487312e+00,2.700000000000000000e+01,6.613906451085487248e+00,2.700000000000000000e+01,1.566990645108548641e+01,2.700000000000000000e+01,2.615890645108548895e+01,2.700000000000000000e+01,4.463890645108548227e+01
2.800000000000000000e+01,1.488906451085487470e+00,2.800000000000000000e+01,4.760906451085487490e+00,2.800000000000000000e+01,6.813906451085487426e+00,2.800000000000000000e+01,1.596990645108548712e+01,2.800000000000000000e+01,2.675890645108548682e+01,2.800000000000000000e+01,4.543890645108548654e+01
2.900000000000000000e+01,1.688906451085487648e+00,2.900000000000000000e+01,4.760906451085487490e+00,2.900000000000000000e+01,7.013906451085487603e+00,2.900000000000000000e+01,1.636990645108548748e+01,2.900000000000000000e+01,2.745890645108548966e+01,2.900000000000000000e+01,4.633890645108548512e+01
3.000000000000000000e+01,1.788906451085487515e+00,3.000000000000000000e+01,5.060906451085487312e+00,3.000000000000000000e+01,7.213906451085487781e+00,3.000000000000000000e+01,1.676990645108548961e+01,3.000000000000000000e+01,2.795890645108548966e+01,3.000000000000000000e+01,4.703890645108548796e+01
3.100000000000000000e+01,1.688906451085487648e+00,3.100000000000000000e+01,5.160906451085487845e+00,3.100000000000000000e+01,7.313906451085487426e+00,3.100000000000000000e+01,1.706990645108548676e+01,3.100000000000000000e+01,2.855890645108548753e+01,3.100000000000000000e+01,4.763890645108548227e+01
3.200000000000000000e+01,1.888906451085487603e+00,3.200000000000000000e+01,5.260906451085487490e+00,3.200000000000000000e+01,7.513906451085487603e+00,3.200000000000000000e+01,1.756990645108548676e+01,3.200000000000000000e+01,2.925890645108548682e+01,3.200000000000000000e+01,4.853890645108548796e+01
3.300000000000000000e+01,1.888906451085487603e+00,3.300000000000000000e+01,5.560906451085487312e+00,3.300000000000000000e+01,7.713906451085487781e+00,3.300000000000000000e+01,1.786990645108548748e+01,3.300000000000000000e+01,2.975890645108548682e+01,3.300000000000000000e+01,4.903890645108548796e+01
3.400000000000000000e+01,1.888906451085487603e+00,3.400000000000000000e+01,5.460906451085487667e+00,3.400000000000000000e+01,7.913906451085487070e+00,3.400000000000000000e+01,1.826990645108548961e+01,3.400000000000000000e+01,3.025890645108548682e+01,3.400000000000000000e+01,4.983890645108548512e+01
3.500000000000000000e+01,1.988906451085487692e+00,3.500000000000000000e+01,5.760906451085487490e+00,3.500000000000000000e+01,8.213906451085486893e+00,3.500000000000000000e+01,1.866990645108548819e+01,3.500000000000000000e+01,3.085890645108548824e+01,3.500000000000000000e+01,5.043890645108548654e+01
3.600000000000000000e+01,1.988906451085487692e+00,3.600000000000000000e+01,5.860906451085487134e+00,3.600000000000000000e+01,8.313906451085486538e+00,3.600000000000000000e+01,1.906990645108548676e+01,3.600000000000000000e+01,3.145890645108548966e+01,3.600000000000000000e+01,5.113890645108548227e+01
3.700000000000000000e+01,1.888906451085487603e+00,3.700000000000000000e+01,5.860906451085487134e+00,3.700000000000000000e+01,8.313906451085486538e+00,3.700000000000000000e+01,1.936990645108548748e+01,3.700000000000000000e+01,3.195890645108548611e+01,3.700000000000000000e+01,5.173890645108548370e+01
3.800000000000000000e+01,1.988906451085487692e+00,3.800000000000000000e+01,6.060906451085487312e+00,3.800000000000000000e+01,8.513906451085485827e+00,3.800000000000000000e+01,1.956990645108548676e+01,3.800000000000000000e+01,3.245890645108548256e+01,3.800000000000000000e+01,5.223890645108548370e+01
