time (s), 1.250000,time (s), 2.500000,time (s), 5.000000
4.200000000000000000e+01,2.609999999999999876e+00,4.200000000000000000e+01,4.780999999999999694e+00,4.200000000000000000e+01,9.787000000000000810e+00
4.300000000000000000e+01,2.709999999999999964e+00,4.300000000000000000e+01,4.780999999999999694e+00,4.300000000000000000e+01,9.787000000000000810e+00
4.400000000000000000e+01,2.810000000000000053e+00,4.400000000000000000e+01,4.980999999999999872e+00,4.400000000000000000e+01,1.008699999999999974e+01
4.500000000000000000e+01,2.910000000000000142e+00,4.500000000000000000e+01,5.081000000000000405e+00,4.500000000000000000e+01,1.018699999999999939e+01
4.600000000000000000e+01,2.910000000000000142e+00,4.600000000000000000e+01,5.181000000000000050e+00,4.600000000000000000e+01,1.028700000000000081e+01
4.700000000000000000e+01,3.009999999999999787e+00,4.700000000000000000e+01,5.280999999999999694e+00,4.700000000000000000e+01,1.048700000000000010e+01
4.800000000000000000e+01,3.009999999999999787e+00,4.800000000000000000e+01,5.480999999999999872e+00,4.800000000000000000e+01,1.068699999999999939e+01
4.900000000000000000e+01,3.009999999999999787e+00,4.900000000000000000e+01,5.480999999999999872e+00,4.900000000000000000e+01,1.078700000000000081e+01
5.000000000000000000e+01,3.310000000000000053e+00,5.000000000000000000e+01,5.681000000000000050e+00,5.000000000000000000e+01,1.088700000000000045e+01
5.100000000000000000e+01,3.209999999999999964e+00,5.100000000000000000e+01,5.780999999999999694e+00,5.100000000000000000e+01,1.108699999999999974e+01
5.200000000000000000e+01,3.410000000000000142e+00,5.200000000000000000e+01,5.780999999999999694e+00,5.200000000000000000e+01,1.118699999999999939e+01
5.300000000000000000e+01,3.509999999999999787e+00,5.300000000000000000e+01,5.980999999999999872e+00,5.300000000000000000e+01,1.128700000000000081e+01
5.400000000000000000e+01,3.310000000000000053e+00,5.400000000000000000e+01,5.881000000000000227e+00,5.400000000000000000e+01,1.128700000000000081e+01
5.500000000000000000e+01,3.509999999999999787e+00,5.500000000000000000e+01,6.081000000000000405e+00,5.500000000000000000e+01,1.148700000000000010e+01
5.600000000000000000e+01,3.509999999999999787e+00,5.600000000000000000e+01,6.181000000000000050e+00,5.600000000000000000e+01,1.168699999999999939e+01
5.700000000000000000e+01,3.509999999999999787e+00,5.700000000000000000e+01,6.181000000000000050e+00,5.700000000000000000e+01,1.168699999999999939e+01
5.800000000000000000e+01,3.810000000000000053e+00,5.800000000000000000e+01,6.581000000000000405e+00,5.800000000000000000e+01,1.208699999999999974e+01
5.900000000000000000e+01,3.709999999999999964e+00,5.900000000000000000e+01,6.581000000000000405e+00,5.900000000000000000e+01,1.218699999999999939e+01
6.000000000000000000e+01,3.810000000000000053e+00,6.000000000000000000e+01,6.480999999999999872e+00,6.000000000000000000e+01,1.218699999999999939e+01
6.100000000000000000e+01,3.910000000000000142e+00,6.100000000000000000e+01,6.780999999999999694e+00,6.100000000000000000e+01,1.248700000000000010e+01
6.200000000000000000e+01,3.810000000000000053e+00,6.200000000000000000e+01,6.881000000000000227e+00,6.200000000000000000e+01,1.248700000000000010e+01
6.300000000000000000e+01,3.910000000000000142e+00,6.300000000000000000e+01,6.980999999999999872e+00,6.300000000000000000e+01,1.258699999999999974e+01
6.400000000000000000e+01,3.910000000000000142e+00,6.400000000000000000e+01,7.081000000000000405e+00,6.400000000000000000e+01,1.268699999999999939e+01
6.500000000000000000e+01,4.110000000000000320e+00,6.500000000000000000e+01,7.280999999999999694e+00,6.500000000000000000e+01,1.278700000000000081e+01
6.600000000000000000e+01,4.209999999999999964e+00,6.600000000000000000e+01,7.381000000000000227e+00,6.600000000000000000e+01,1.288700000000000045e+01
6.700000000000000000e+01,4.410000000000000142e+00,6.700000000000000000e+01,7.480999999999999872e+00,6.700000000000000000e+01,1.318699999999999939e+01
6.800000000000000000e+01,4.309999999999999609e+00,6.800000000000000000e+01,7.381000000000000227e+00,6.800000000000000000e+01,1.308699999999999974e+01
6.900000000000000000e+01,4.410000000000000142e+00,6.900000000000000000e+01,7.480999999999999872e+00,6.900000000000000000e+01,1.338700000000000045e+01
7.000000000000000000e+01,4.410000000000000142e+00,7.000000000000000000e+01,7.681000000000000050e+00,7.000000000000000000e+01,1.338700000000000045e+01
7.100000000000000000e+01,4.509999999999999787e+00,7.100000000000000000e+01,7.780999999999999694e+00,7.100000000000000000e+01,1.358699999999999974e+01
7.200000000000000000e+01,4.610000000000000320e+00,7.200000000000000000e+01,7.780999999999999694e+00,7.200000000000000000e+01,1.358699999999999974e+01
7.300000000000000000e+01,4.709999999999999964e+00,7.300000000000000000e+01,7.980999999999999872e+00,7.300000000000000000e+01,1.388700000000000045e+01
7.400000000000000000e+01,4.509999999999999787e+00,7.400000000000000000e+01,7.881000000000000227e+00,7.400000000000000000e+01,1.368699999999999939e+01
7.500000000000000000e+01,4.709999999999999964e+00,7.500000000000000000e+01,7.980999999999999872e+00,7.500000000000000000e+01,1.378700000000000081e+01
7.600000000000000000e+01,4.809999999999999609e+00,7.600000000000000000e+01,8.180999999999999162e+00,7.600000000000000000e+01,1.398700000000000010e+01
7.700000000000000000e+01,4.709999999999999964e+00,7.700000000000000000e+01,8.281000000000000583e+00,7.700000000000000000e+01,1.408699999999999974e+01
7.800000000000000000e+01,4.910000000000000142e+00,7.800000000000000000e+01,8.381000000000000227e+00,7.800000000000000000e+01,1.418699999999999939e+01
7.900000000000000000e+01,5.009999999999999787e+00,7.900000000000000000e+01,8.580999999999999517e+00,7.900000000000000000e+01,1.448700000000000010e+01
8.000000000000000000e+01,5.110000000000000320e+00,8.000000000000000000e+01,8.680999999999999162e+00,8.000000000000000000e+01,1.448700000000000010e+01
8.100000000000000000e+01,4.910000000000000142e+00,8.100000000000000000e+01,8.580999999999999517e+00,8.100000000000000000e+01,1.438700000000000045e+01
8.200000000000000000e+01,5.110000000000000320e+00,8.200000000000000000e+01,8.680999999999999162e+00,8.200000000000000000e+01,1.458699999999999974e+01
8.300000000000000000e+01,5.110000000000000320e+00,8.300000000000000000e+01,8.680999999999999162e+00,8.300000000000000000e+01,1.458699999999999974e+01
8.400000000000000000e+01,5.110000000000000320e+00,8.400000000000000000e+01,8.680999999999999162e+00,8.400000000000000000e+01,1.468699999999999939e+01
8.500000000000000000e+01,5.209999999999999964e+00,8.500000000000000000e+01,8.781000000000000583e+00,8.500000000000000000e+01,1.478700000000000081e+01
8.600000000000000000e+01,5.209999999999999964e+00,8.600000000000000000e+01,8.980999999999999872e+00,8.600000000000000000e+01,1.498700000000000010e+01
8.700000000000000000e+01,5.509999999999999787e+00,8.700000000000000000e+01,9.080999999999999517e+00,8.700000000000000000e+01,1.518699999999999939e+01
8.800000000000000000e+01,5.410000000000000142e+00,8.800000000000000000e+01,9.080999999999999517e+00,8.800000000000000000e+01,1.508699999999999974e+01
8.900000000000000000e+01,5.410000000000000142e+00,8.900000000000000000e+01,9.080999999999999517e+00,8.900000000000000000e+01,1.508699999999999974e+01
